2019-11-15 13:01:28.396 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_09-56-35_945.jpg, person, 0,99712986
2019-11-15 13:01:28.412 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_09-56-35_945.jpg, person, 0,5643649
2019-11-15 13:01:32.908 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_11-47-29_428.jpg, bench, 0,42555207
2019-11-15 13:01:55.004 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_09-56-35_945.jpg, person, 0,99712986
2019-11-15 13:01:55.016 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_09-56-35_945.jpg, person, 0,5643649
2019-11-15 13:02:00.087 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_11-47-29_428.jpg, bench, 0,42555207
2019-11-15 13:02:05.109 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_12-12-18_056.jpg, bench, 0,4816973
2019-11-15 13:02:07.692 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_12-12-19_650.jpg, bench, 0,4106471
2019-11-15 13:02:12.513 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_12-17-20_425.jpg, bench, 0,47324625
2019-11-15 13:02:17.360 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_14-07-44_995.jpg, car, 0,9953134
2019-11-15 13:02:17.371 +01:00 [INF] , C:\\Users\\toto_\\OneDrive\\Bilder\\alerts2\\video\\RQGBG\\grabs\ispy_2018-09-07_14-07-44_995.jpg, car, 0,64655274
